,Trip No,Spider-Id,X,Y,Spider-Location-Id,Available,Waiting From Time,Scheduling Time,Journey Started,Capacity,Spider in Allocation
0,,0,550,1522,Dumpyard,True,2020-07-12 06:00:00.000000000,2019-01-01 06:00:00.000000000,2019-01-01 06:00:00.000000000,8.0,False
1,,1,1691,940,b_w,False,2020-07-12 06:16:00.000000000,2020-07-12 06:16:00.000000000,2019-01-01 06:00:00.000000000,8.0,False
2,,2,833,1273,tt_rt,True,2020-07-12 06:13:00.009999872,2020-07-12 06:13:00.000000000,2019-01-01 06:00:00.000000000,8.0,False
