,support,itemsets
0,0.07706422018348624,frozenset({0})
1,0.07706422018348624,frozenset({1})
2,0.08073394495412844,frozenset({2})
3,0.07706422018348624,frozenset({3})
4,0.07706422018348624,frozenset({4})
5,0.07522935779816514,frozenset({5})
6,0.07522935779816514,frozenset({6})
7,0.07155963302752294,frozenset({7})
8,0.07339449541284404,frozenset({8})
9,0.060550458715596334,frozenset({9})
10,0.06788990825688074,frozenset({10})
11,0.07339449541284404,frozenset({11})
12,0.10642201834862386,frozenset({12})
13,0.08440366972477065,frozenset({13})
14,0.08440366972477065,frozenset({14})
15,0.07522935779816514,frozenset({15})
16,0.06972477064220184,frozenset({16})
17,0.09174311926605505,frozenset({17})
18,0.08440366972477065,frozenset({18})
19,0.07706422018348624,frozenset({19})
20,0.09541284403669725,frozenset({20})
21,0.06605504587155964,frozenset({21})
22,0.062385321100917435,frozenset({22})
23,0.08073394495412844,frozenset({23})
24,0.08256880733944955,frozenset({24})
25,0.08623853211009175,frozenset({25})
26,0.05871559633027523,frozenset({26})
27,0.07522935779816514,frozenset({27})
28,0.08440366972477065,frozenset({28})
29,0.08256880733944955,frozenset({29})
30,0.09541284403669725,frozenset({30})
31,0.08807339449541285,frozenset({31})
32,0.07889908256880734,frozenset({32})
33,0.09357798165137615,frozenset({33})
34,0.08807339449541285,frozenset({34})
35,0.09174311926605505,frozenset({35})
36,0.08073394495412844,frozenset({36})
37,0.08440366972477065,frozenset({37})
38,0.09908256880733946,frozenset({38})
39,0.07339449541284404,frozenset({39})
40,0.07522935779816514,frozenset({40})
41,0.07522935779816514,frozenset({41})
42,0.08623853211009175,frozenset({42})
43,0.07706422018348624,frozenset({43})
44,0.09541284403669725,frozenset({44})
45,0.06788990825688074,frozenset({45})
46,0.09724770642201835,frozenset({46})
47,0.08990825688073395,frozenset({47})
48,0.07706422018348624,frozenset({48})
49,0.07339449541284404,frozenset({49})
50,0.07339449541284404,frozenset({50})
51,0.08440366972477065,frozenset({51})
52,0.08073394495412844,frozenset({52})
53,0.07522935779816514,frozenset({53})
54,0.09357798165137615,frozenset({54})
55,0.07706422018348624,frozenset({55})
56,0.08256880733944955,frozenset({56})
57,0.07706422018348624,frozenset({57})
58,0.07889908256880734,frozenset({58})
59,0.08073394495412844,frozenset({59})
60,0.07706422018348624,frozenset({60})
61,0.08256880733944955,frozenset({61})
62,0.09541284403669725,frozenset({62})
63,0.08073394495412844,frozenset({63})
64,0.06788990825688074,frozenset({64})
65,0.07522935779816514,frozenset({65})
66,0.06972477064220184,frozenset({66})
67,0.07889908256880734,frozenset({67})
68,0.06972477064220184,frozenset({68})
69,0.08440366972477065,frozenset({69})
70,0.06605504587155964,frozenset({70})
71,0.10642201834862386,frozenset({71})
72,0.08440366972477065,frozenset({72})
73,0.07339449541284404,frozenset({73})
74,0.08623853211009175,frozenset({74})
75,0.07522935779816514,frozenset({75})
76,0.014678899082568808,"frozenset({0, 4})"
77,0.01651376146788991,"frozenset({0, 5})"
78,0.012844036697247707,"frozenset({0, 6})"
79,0.012844036697247707,"frozenset({0, 10})"
80,0.011009174311926606,"frozenset({0, 18})"
81,0.012844036697247707,"frozenset({0, 23})"
82,0.012844036697247707,"frozenset({0, 24})"
83,0.014678899082568808,"frozenset({0, 30})"
84,0.01651376146788991,"frozenset({0, 32})"
85,0.014678899082568808,"frozenset({0, 36})"
86,0.014678899082568808,"frozenset({0, 38})"
87,0.01651376146788991,"frozenset({0, 50})"
88,0.012844036697247707,"frozenset({0, 51})"
89,0.02018348623853211,"frozenset({0, 56})"
90,0.01651376146788991,"frozenset({0, 65})"
91,0.01651376146788991,"frozenset({0, 67})"
92,0.01834862385321101,"frozenset({0, 71})"
93,0.011009174311926606,"frozenset({0, 72})"
94,0.011009174311926606,"frozenset({1, 2})"
95,0.012844036697247707,"frozenset({1, 12})"
96,0.012844036697247707,"frozenset({1, 13})"
97,0.011009174311926606,"frozenset({1, 14})"
98,0.014678899082568808,"frozenset({16, 1})"
99,0.014678899082568808,"frozenset({1, 20})"
100,0.014678899082568808,"frozenset({1, 25})"
101,0.012844036697247707,"frozenset({1, 26})"
102,0.011009174311926606,"frozenset({1, 27})"
103,0.02018348623853211,"frozenset({1, 31})"
104,0.014678899082568808,"frozenset({1, 35})"
105,0.012844036697247707,"frozenset({1, 41})"
106,0.011009174311926606,"frozenset({1, 42})"
107,0.011009174311926606,"frozenset({1, 43})"
108,0.01651376146788991,"frozenset({1, 44})"
109,0.012844036697247707,"frozenset({1, 45})"
110,0.01834862385321101,"frozenset({1, 46})"
111,0.02018348623853211,"frozenset({1, 47})"
112,0.014678899082568808,"frozenset({1, 49})"
113,0.011009174311926606,"frozenset({1, 52})"
114,0.012844036697247707,"frozenset({1, 57})"
115,0.011009174311926606,"frozenset({1, 59})"
116,0.012844036697247707,"frozenset({1, 60})"
117,0.01651376146788991,"frozenset({1, 62})"
118,0.012844036697247707,"frozenset({1, 63})"
119,0.011009174311926606,"frozenset({1, 69})"
120,0.01834862385321101,"frozenset({2, 7})"
121,0.012844036697247707,"frozenset({8, 2})"
122,0.012844036697247707,"frozenset({2, 12})"
123,0.014678899082568808,"frozenset({17, 2})"
124,0.014678899082568808,"frozenset({2, 20})"
125,0.014678899082568808,"frozenset({2, 31})"
126,0.011009174311926606,"frozenset({2, 35})"
127,0.011009174311926606,"frozenset({2, 37})"
128,0.014678899082568808,"frozenset({41, 2})"
129,0.01651376146788991,"frozenset({2, 42})"
130,0.012844036697247707,"frozenset({2, 43})"
131,0.014678899082568808,"frozenset({2, 44})"
132,0.014678899082568808,"frozenset({2, 45})"
133,0.01834862385321101,"frozenset({2, 46})"
134,0.014678899082568808,"frozenset({2, 47})"
135,0.01834862385321101,"frozenset({48, 2})"
136,0.014678899082568808,"frozenset({49, 2})"
137,0.014678899082568808,"frozenset({2, 54})"
138,0.01651376146788991,"frozenset({57, 2})"
139,0.012844036697247707,"frozenset({2, 59})"
140,0.011009174311926606,"frozenset({2, 60})"
141,0.012844036697247707,"frozenset({2, 63})"
142,0.011009174311926606,"frozenset({2, 69})"
143,0.012844036697247707,"frozenset({73, 2})"
144,0.014678899082568808,"frozenset({2, 75})"
